transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,ts,seconds_since_prev,fast_txn_flag,txn_count_last_5min,velocity_flag,user_avg_amount,amount_vs_user_avg,high_amount_flag,extreme_amount_flag,rolling_avg_3,spike_flag,amount_to_balance_ratio,is_new_device_for_user,user_device_count,device_user_count,is_new_city_for_user,device_location_combo,ip_clean,ip_anomaly,ip_multi_user,ip_multi_user_flag,hour,is_night,fraud_score,strong_combo_flag,fraud_label,iso_score,lgbm_prob,rf_prob,ensemble_fraud_prob,final_fraud,fraud_type
TXN-BFAB1556A909,USR0001,473.5813947990873,1711940611,De...,delhi,Clo...,DEV-CEAEBD15,ATM,Card,58157.14,success,192.168..1,,2024-04-01 03:03:31.000000,999999.0,0,0,0,3157.0889808457882,0.14995821766625916,0,0,473.5813947990873,0,0.008142994167266823,1,1,1.0,1,1,,1,1.0,0,3,1,10,1,1,0,0.999999144986211,1.0,0.9999994869917266,1,Device + Location Fraud
TXN-BC3806284B2F,USR0001,373.2334915141155,2024-04-01T13:07:18.827444,delhi,delhi,Food & Dining,DEV-CEAEBD15,ATM,Card,57783.9,success,192.27.174.84,,2024-04-01 13:07:18.827444,36227.827444,0,0,0,473.5813947990873,0.7864477950555201,0,0,423.4074431566014,0,0.006459014232336051,0,1,1.0,1,0,192.27.174.84,0,1.0,0,13,0,2,0,0,0,1.1385313721166744e-06,0.0,6.831188232700046e-07,0,Not Fraud
TXN-1CFEBE1835BA,USR0001,358.0798002108629,"April 02, 2024 04:53 AM",delhi,DEL,Food & Dining,DEV-CEAEBD15,ATM,UPI,57425.82,success,,,2024-04-02 04:53:00.000000,56741.172556,0,0,0,423.4074431566014,0.8437170600675249,0,0,401.63156217468855,0,0.0062354105661929895,0,1,1.0,0,0,,1,1.0,0,4,1,1,0,0,0,2.6398246555973042e-06,0.0,1.5838947933583824e-06,0,Not Fraud
TXN-B2F3A5F053BC,USR0001,358.0,04-04-2024 02:44,delhi,New Delhi,Groce#,DEV-CEAEBD15,ATM,Card,57067.74,success,192.27.174.126,,2024-04-04 02:44:00.000000,165060.0,0,0,0,401.63156217468855,0.8891503638372881,0,0,363.1044305749928,0,0.006273136571790441,0,1,1.0,0,0,192.27.174.126,0,1.0,0,2,1,0,0,0,0,5.915665600840525e-07,0.0,3.5493993605043145e-07,0,Not Fraud
TXN-E8333D1E96ED,USR0001,516.36,"April 05, 2024 02:12 AM",New Delhi,New Delhi,Electronics,DEV-CEAEBD15,ATM,Card,56423.09,pending,192.27.174.79,,2024-04-05 02:12:00.000000,84480.0,0,0,0,390.72367163101643,1.3181741043374693,0,0,410.8132667369543,0,0.00915141032846077,0,1,1.0,1,0,192.27.174.79,0,1.0,0,2,1,2,0,0,0,3.2814876810049445e-06,0.0,1.9688926086029665e-06,0,Not Fraud
TXN-938D5D626B6C,USR0001,320.8911839382214,07/04/2024 00:11:47,delhi,delhi,Education,DEV-CEAEBD15,ATM,NetBanking,56102.2,success,192.27.174.186,,2024-04-07 00:11:47.000000,165587.0,0,0,0,415.8509373048131,0.7697983984706187,0,0,398.4170613127405,0,0.0057196591983740925,0,1,1.0,0,0,192.27.174.186,0,1.0,0,0,1,0,0,0,0,6.02657960472427e-07,0.0,3.615947762834562e-07,0,Not Fraud
TXN-1ACA3AA98DFD,USR0001,480.82658392811084,08/04/2024 08:53:43,New Delhi,New Delhi,Education,DEV-CEAEBD15,ATM,Card,55621.37,success,192.27.174.78,,2024-04-08 08:53:43.000000,117716.0,0,0,0,400.0243117437146,1.1989960953673953,0,0,439.35925595544404,0,0.008644482137818127,0,1,1.0,0,0,192.27.174.78,0,1.0,0,8,0,0,0,0,0,3.6441517719299334e-07,0.0,2.18649106315796e-07,0,Not Fraud
TXN-B2B195A4BC69,USR0001,433.3220490015315,2024-04-08T13:46:03.547106,Bombay,MUMBAI,Electronics,DEV-CEAEBD15,ATM,Card,55188.05,success,192.27.174.223,,2024-04-08 13:46:03.547106,17540.547106,0,0,0,411.5674934843426,1.0503058429104681,0,0,411.6799389559546,0,0.007851594637007369,0,1,1.0,1,0,192.27.174.223,0,1.0,0,13,0,2,0,0,0,1.1385217861804307e-06,0.0,6.831130717082584e-07,0,Not Fraud
TXN-61C57A3763E6,USR0001,92.72,2024-04-11T15:58:36.297260,delhi,DELHI,Clothing,DEV-CEAEBD15,ATM,Card,55095.33,success,192.27.174.248,,2024-04-11 15:58:36.297260,267152.750154,0,0,0,414.2868129239912,0.22326738320239004,0,0,335.6228776432141,0,0.001682870710263279,0,1,1.0,0,0,192.27.174.248,0,1.0,0,15,0,0,0,0,0,3.7016257154681364e-07,0.0,2.2209754292808816e-07,0,Not Fraud
TXN-00A7AB9C0434,USR0001,235.02,2024-04-11T20:20:15.611788,ahmedabad,AMD,Healthcare,DEV-CEAEBD15,ATM,Card,54860.3,success,192.27.174.39,,2024-04-11 20:20:15.611788,15699.314528,0,0,0,378.5571670435477,0.6191952633397,0,0,253.68734966717716,0,0.004283894111149389,0,1,1.0,1,0,192.27.174.39,0,1.0,0,20,0,2,0,0,0,1.1385217861804307e-06,0.0,6.831130717082584e-07,0,Not Fraud
