transaction_id,user_id,clean_amount,clean_timestamp,clean_user_location,clean_merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,valid_ip,location_mismatch,hour_of_day,day_of_week,is_unusual_hour,time_since_last_txn,is_high_velocity,user_avg_spend,amount_vs_avg_ratio,device_seq,is_new_device,has_invalid_ip
TXN-BFAB1556A909,USR0001,473.5813947990873,2024-04-01 03:03:31.000000,de,delhi,clo...,dev-ceaebd15,atm,card,58157.14,success,missing,1,3,0,1,2592000.0,0,3170.3437853998757,0.14937856124192184,1,1,1
TXN-BC3806284B2F,USR0001,373.2334915141155,2024-04-01 13:07:18.827444,delhi,delhi,food & dining,dev-ceaebd15,atm,card,57783.9,success,192.27.174.84,0,13,0,0,36227.827444,0,473.5813947990873,0.7881084175432447,2,0,0
TXN-1CFEBE1835BA,USR0001,358.0798002108629,2024-04-02 04:53:00.000000,delhi,delhi,food & dining,dev-ceaebd15,atm,upi,57425.82,success,missing,0,4,1,1,56741.172556,0,423.4074431566014,0.8457097236746648,3,0,1
TXN-B2F3A5F053BC,USR0001,358.0,2024-04-04 02:44:00.000000,delhi,delhi,groce#,dev-ceaebd15,atm,card,57067.74,success,192.27.174.126,0,2,3,1,165060.0,0,401.63156217468855,0.8913641874854622,4,0,0
TXN-8E4F07913EFA,USR0001,644.65,2024-04-04 06:15:03.000000,delhi,delhi,entertainment,dev-ce...,atm,card,56423.09,success,192.27.174.122,0,6,3,0,12663.0,0,390.72367163101643,1.6498871972873692,1,1,0
TXN-E8333D1E96ED,USR0001,516.36,2024-04-05 02:12:00.000000,delhi,delhi,electronics,dev-ceaebd15,atm,card,56423.09,pending,192.27.174.79,0,2,4,1,71817.0,0,441.5089373048131,1.1695346224626124,5,0,0
TXN-938D5D626B6C,USR0001,320.8911839382214,2024-04-07 00:11:47.000000,delhi,delhi,education,dev-ceaebd15,atm,netbanking,56102.2,success,192.27.174.186,0,0,6,0,165587.0,0,453.9841144206776,0.706833491914956,6,0,0
TXN-1ACA3AA98DFD,USR0001,480.8265839281109,2024-04-08 08:53:43.000000,delhi,delhi,education,dev-ceaebd15,atm,card,55621.37,success,192.27.174.78,0,8,0,0,117716.0,0,434.97083863746957,1.10542254827946,7,0,0
TXN-B2B195A4BC69,USR0001,433.3220490015315,2024-04-08 13:46:03.547106,mumbai,mumbai,electronics,dev-ceaebd15,atm,card,55188.05,success,192.27.174.223,0,13,0,0,17540.547106,0,440.70280679879977,0.9832522790508101,8,0,0
TXN-61C57A3763E6,USR0001,92.72,2024-04-11 15:58:36.297260,delhi,delhi,clothing,dev-ceaebd15,atm,card,55095.33,success,192.27.174.248,0,15,3,0,267152.750154,0,439.8827225991033,0.21078345006213825,9,0,0
TXN-00A7AB9C0434,USR0001,235.02,2024-04-11 20:20:15.611788,ahmedabad,ahmedabad,healthcare,dev-ceaebd15,atm,card,54860.3,success,192.27.174.39,0,20,3,0,15699.314528,0,405.1664503391929,0.5800578848586048,10,0,0
TXN-6EDB0A2E8B1C,USR0001,444.75,2024-04-11 23:32:33.000000,delhi,delhi,clothing,dev-ceaebd15,atm,card,54415.56,success,192.27.174.199,0,23,3,0,11537.388212,0,389.69859121744815,1.1412666060657315,11,0,0
TXN-0AF11055F02A,USR0001,626.7055779684548,2024-04-15 13:38:07.517298,delhi,delhi,food & dining,dev-ceaebd15,atm,card,53788.85,success,missing,0,13,0,0,309934.517298,0,394.28620861599416,1.5894686356735692,12,0,1
TXN-1559D59C9330,USR0001,359.40365904384936,2024-04-17 00:59:41.105339,delhi,delhi,fuel,dev-ceaebd15,atm,card,53429.45,success,192.27.174.20,0,0,2,0,127293.588041,0,412.16462164310644,0.8719905383707381,13,0,0
TXN-F4F8822BB477,USR0001,309.05315279467817,2024-04-17 22:32:59.526145,delhi,delhi,clothing,dev-ceaebd15,atm,card,53120.4,success,192.27.174.73,0,22,2,0,77598.420806,0,408.3959814574453,0.7567487420524337,14,0,0
TXN-AEDC46E50C49,USR0001,412.6133820620725,2024-04-18 01:12:29.197589,delhi,kolkata,electronics,dev-ceaebd15,atm,card,52707.78,success,192.27.174.206,1,1,3,1,9569.671444,0,401.7731262132608,1.0269810120979759,15,0,0
TXN-8FB0D389642C,USR0001,300.1628,2024-04-19 05:31:00.000000,delhi,delhi,utilities,dev-ceaebd15,mobile,card,52407.62,success,192.27.174.203,0,5,4,1,101910.802411,0,402.4506422038115,0.7458375290394355,16,0,0
TXN-37D822E60E11,USR0001,392.95,2024-04-23 00:00:00.000000,kolkata,lucknow,utilities,dev-ceaebd15,atm,card,51665.68,success,192.27.174.59,1,0,1,0,325740.0,0,396.4337103094697,0.9912123511926529,17,0,0
TXN-D514D89B7430,USR0001,348.9864901080281,2024-04-23 00:59:20.000000,delhi,delhi,clothing,dev-ceaebd15,atm,netbanking,52058.63,success,192.27.174.129,0,0,1,0,3560.0,0,396.2401708478325,0.8807448284555697,18,0,0
TXN-2673E518CFDB,USR0001,227.93,2024-04-27 16:25:29.663464,delhi,delhi,clothing,dev-ceaebd15,atm,card,51665.68,failed,192.27.174.121,0,16,5,0,401169.663464,0,393.75313501942173,0.5788652176702168,19,0,0
TXN-E354E4217F1F,USR0001,525.07,2024-05-01 09:37:33.240547,delhi,delhi,fuel,dev-ceaebd15,atm,card,51140.61,success,192.27.174.24,0,9,2,0,321123.577083,0,385.46197826845065,1.3621836030024341,20,0,0
TXN-851C471E2E36,USR0001,202.0,2024-05-02 00:13:16.000000,delhi,jaipur,grocery,dev-ceaebd15,atm,netbanking,50938.46,success,192.27.174.170,1,0,3,0,52542.759453,0,392.1099793032863,0.5151615758601819,21,0,0
TXN-FD97B26A7F87,USR0001,0.0,2024-05-02 22:03:38.523540,delhi,ahmedabad,fuel,dev-ceaebd15,atm,upi,50938.46,pending,192.27.174.169,1,22,3,0,78622.52354,0,383.4686166076824,0.0,22,0,0
TXN-4A7010CE412C,USR0001,426.0,2024-05-03 00:04:00.933028,delhi,delhi,healthcare,dev-ceaebd15,atm,card,50512.26,success,192.27.174.69,0,0,4,0,7222.409488,0,366.79606805952227,1.1614082741933527,23,0,0
TXN-2D9B4EAD3647,USR0001,511.7863905782768,2024-05-03 20:49:10.000000,delhi,delhi,travel,dev-ceaebd15,atm,unknown,50000.48,success,192.27.174.205,0,20,4,0,74709.066972,0,369.2628985570422,1.3859675009823473,24,0,0
TXN-D1437A6A4A1C,USR0002,938.3158589517042,2024-03-02 13:00:00.000000,jaipur,bangalore,clothing,dev-5e5ebd15,mobile,upi,86336.44,success,192.60.130.119,1,13,5,0,2592000.0,0,3170.3437853998757,0.2959665952674241,1,1,0
TXN-665833DD7594,USR0002,837.5015327191229,2024-03-06 14:08:18.013223,jaipur,jaipur,education,dev-5e5ebd15,mobile,upi,85498.94,success,192.60.130.121,0,14,2,0,349698.013223,0,938.3158589517042,0.8925582103335713,2,0,0
TXN-6A7A083055A9,USR0002,772.0,2024-03-06 19:45:46.088324,jaipur,jaipur,healthcare,dev-5e5ebd15,web,wallet,84726.58,success,192.60.130.88,0,19,2,0,20248.075101,0,887.9086958354135,0.8694587573320868,3,0,0
TXN-6B968E8BA06C,USR0002,716.323914158053,2024-03-09 09:36:20.000000,jaipur,jaipur,education,dev-5e5ebd15,atm,wallet,84010.25,success,192.60.130.222,0,9,5,0,222633.911676,0,849.2724638902756,0.8434559416211583,4,0,0
TXN-B03185D8BA4E,USR0002,1249.4361861644954,2024-03-10 09:26:55.000000,jaipur,hyderabad,utilities,dev-5e5ebd15,mobile,upi,0.0,success,192.60.130.49,1,9,6,0,85835.0,0,816.03532645722,1.5311054930401242,5,0,0
TXN-08B025285CCD,USR0002,991.9571158170731,2024-03-11 02:49:51.545106,jaipur,bangalore,clothing,dev-5e5ebd15,mobile,wallet,81768.86,success,192.60.130.99,1,2,0,1,62576.545106,0,902.7154983986751,1.0988590608980493,6,0,0
TXN-BF944DFED094,USR0002,742.8630678280563,2024-03-16 03:20:00.000000,jaipur,jaipur,travel,dev-5e5ebd15,web,upi,81768.86,pending,192.60.130.234,0,3,5,1,433808.454894,0,917.5891013017414,0.8095813896202306,7,0,0
TXN-E2F3A4A25C48,USR0002,640.3546120031289,2024-03-16 22:19:51.000000,jaipur,jaipur,fue#,dev-5e5ebd15,mobile,netbanking,81128.51,success,192.60.130.87,0,22,5,0,68391.0,0,892.6282393769294,0.717381073756189,8,0,0
TXN-4D7860BCF65F,USR0002,17399.39,2024-05-18 11:15:59.000000,jaipur,jaipur,clothing,dev-5e5ebd15,mobile,upi,79303.82,success,192.60.130.112,0,11,5,0,5403368.0,0,861.0940359552043,20.206143663087353,9,0,0
TXN-7A48026C6B94,USR0002,551.6329876973963,2024-06-23 05:12:08.000000,jaipur,jaipur,education,new-0c108fd2,mobile,wallet,0.0,success,225.68.0.159,0,5,6,1,3088569.0,0,2698.682476404626,0.2044082586508057,1,1,0
